Price,copper_price
,
5.019000053405762,5.019000053405762
5.023499965667725,5.023499965667725
4.810999870300293,4.810999870300293
4.384500026702881,4.384500026702881
4.169000148773193,4.169000148773193
4.127500057220459,4.127500057220459
4.17549991607666,4.17549991607666
4.321000099182129,4.321000099182129
4.507500171661377,4.507500171661377
4.610499858856201,4.610499858856201
4.611000061035156,4.611000061035156
4.673999786376953,4.673999786376953
4.731500148773193,4.731500148773193
4.7210001945495605,4.7210001945495605
4.870500087738037,4.870500087738037
4.8354997634887695,4.8354997634887695
4.849999904632568,4.849999904632568
4.8354997634887695,4.8354997634887695
4.8379998207092285,4.8379998207092285
4.822999954223633,4.822999954223633
