date,open,high,low,close,volume
,^VIX,^VIX,^VIX,^VIX,^VIX
2025-04-01,22.059999465942383,23.520000457763672,21.579999923706055,21.770000457763672,0
2025-04-02,22.299999237060547,23.65999984741211,20.68000030517578,21.510000228881836,0
2025-04-03,26.3799991607666,30.020000457763672,24.93000030517578,30.020000457763672,0
2025-04-04,30.1200008392334,45.61000061035156,29.989999771118164,45.310001373291016,0
2025-04-07,60.130001068115234,60.130001068115234,38.58000183105469,46.97999954223633,0
2025-04-08,44.040000915527344,57.52000045776367,36.47999954223633,52.33000183105469,0
2025-04-09,50.97999954223633,57.959999084472656,31.899999618530273,33.619998931884766,0
2025-04-10,34.439998626708984,54.869998931884766,34.439998626708984,40.720001220703125,0
2025-04-11,40.79999923706055,46.119998931884766,36.849998474121094,37.560001373291016,0
2025-04-14,34.7599983215332,35.16999816894531,29.75,30.889999389648438,0
2025-04-15,30.010000228881836,31.450000762939453,28.290000915527344,30.1200008392334,0
2025-04-16,33.2400016784668,34.959999084472656,29.479999542236328,32.63999938964844,0
2025-04-17,30.790000915527344,32.54999923706055,29.56999969482422,29.649999618530273,0
2025-04-21,32.75,35.75,31.790000915527344,33.81999969482422,0
2025-04-22,32.61000061035156,32.68000030517578,30.079999923706055,30.56999969482422,0
2025-04-23,28.75,30.290000915527344,27.110000610351562,28.450000762939453,0
2025-04-24,28.690000534057617,29.65999984741211,26.360000610351562,26.469999313354492,0
2025-04-25,26.219999313354492,27.200000762939453,24.84000015258789,24.84000015258789,0
2025-04-28,25.75,26.93000030517578,24.700000762939453,25.149999618530273,0
2025-04-29,24.760000228881836,25.989999771118164,23.760000228881836,24.170000076293945,0
