Backtest,Train Size,Test Start,R2,MAE,RMSE,Order,Seasonal Order,AIC
1,221,2023-01-01,-1.4338686395810187,11.504956692093455,12.209855565079277,"(1, 1, 1)","(0, 0, 1, 12)",1264.1516864469181
2,241,2023-02-01,-1.970672620432829,9.194563232326752,11.410468483901719,"(1, 1, 1)","(0, 0, 1, 12)",1368.2332137987833
3,260,2023-03-01,0.5972361429480201,3.102335519702229,3.733480771286784,"(1, 1, 1)","(0, 0, 1, 12)",1489.491477648773
4,283,2023-04-01,-1.7174062879070524,4.003869507984407,4.9152297758494194,"(1, 1, 1)","(0, 0, 1, 12)",1619.5278393567312
5,302,2023-05-01,-0.8512989573674123,4.59079137586337,5.319413553568912,"(1, 1, 1)","(0, 0, 1, 12)",1720.1555791448175
6,324,2023-06-01,-3.2916077129383288,10.810327854035249,11.269171012509569,"(1, 1, 1)","(0, 0, 1, 12)",1833.2438195893274
7,345,2023-07-01,0.044578460524809516,5.366106174013851,5.96678804171017,"(1, 1, 1)","(0, 0, 1, 12)",1948.7930090067878
8,365,2023-08-01,0.22545903508198306,4.227102294975299,4.772657970702848,"(1, 1, 1)","(0, 0, 1, 12)",2050.2445132888133
9,388,2023-09-01,0.8262564199917011,2.8215318091950197,3.6130662865280043,"(1, 1, 1)","(0, 0, 1, 12)",2164.961889767582
10,408,2023-10-01,-0.5581835644958206,7.175191826121007,9.513454684907476,"(1, 1, 1)","(0, 0, 1, 12)",2269.9593814663654
11,430,2023-11-01,0.6542474309497371,5.33998785520794,5.814932498622367,"(1, 1, 1)","(0, 0, 1, 12)",2386.0856128698597
12,451,2023-12-01,0.4713180811192579,4.545191556710654,5.428208200512963,"(1, 1, 1)","(0, 0, 1, 12)",2498.6855437177637
13,471,2024-01-01,-1.7240358195276295,10.772284008208633,11.95469125269497,"(1, 1, 1)","(0, 0, 1, 12)",2611.1188629362937
14,492,2024-02-01,-0.9984879350136164,6.703442927944641,7.839398413555986,"(1, 1, 1)","(0, 0, 1, 12)",2728.319323833045
15,512,2024-03-01,-1.61197308770207,6.7071104275859454,7.580096139669622,"(1, 1, 1)","(0, 0, 1, 12)",2840.216619297648
16,532,2024-04-01,0.4160462273020715,4.988261173461072,6.059135381226019,"(1, 1, 1)","(0, 0, 1, 12)",2969.1738039104866
17,554,2024-05-01,0.015859840911894296,7.821586782569821,8.202540868893902,"(1, 1, 1)","(0, 0, 1, 12)",3082.176787369667
18,576,2024-06-01,-7.13915048634871,15.389106510924487,17.645151704313825,"(1, 1, 1)","(0, 0, 1, 12)",3201.6057429403268
19,595,2024-07-01,-1.1336503474777069,8.332092160156042,10.180390545311225,"(1, 1, 1)","(0, 0, 1, 12)",3301.2536696450443
20,617,2024-08-01,0.7752822802140658,6.141428219073393,7.15941894882119,"(1, 1, 1)","(0, 0, 1, 12)",3431.452618366036
21,639,2024-09-01,0.5555316932706433,5.95692978532694,6.6154088304487155,"(1, 1, 1)","(0, 0, 1, 12)",3548.5535155340926
22,659,2024-10-01,-0.8638127945394058,6.908771567938071,7.671597580984383,"(1, 1, 1)","(0, 0, 1, 12)",3651.1756033706633
23,682,2024-11-01,-3.934287900441624,18.75638424103612,20.181428382639897,"(1, 1, 1)","(0, 0, 1, 12)",3781.389210345448
24,702,2024-12-01,0.24475191213621128,5.7805373505307704,6.640897024071155,"(1, 1, 1)","(0, 0, 1, 12)",3910.0246240630067
25,723,2025-01-01,-0.07844755004789161,8.1667399139348,9.411494823405514,"(1, 1, 1)","(0, 0, 1, 12)",4045.532359598837
26,743,2025-02-01,-0.5759549058770688,7.376283126689397,8.888598590259663,"(1, 1, 1)","(0, 0, 1, 12)",4165.739650304513
27,762,2025-03-01,-5.982500801160086,24.559118433009342,27.20144757304057,"(1, 1, 1)","(0, 0, 1, 12)",4280.713126012673
